id,title,question_text,choices_json,correct_choice_index,short_explanation,detailed_explanation,basic_terms,domain,subdomain,ability_axis,cognitive_type,difficulty_initial,source_url,source_note,currentness_type,expires_at,tags_json
"00000000-0000-4000-8001-000000000001","素数の定義","「2,3,5,7,11,…」のように、1より大きい自然数のうち1と自分自身だけを約数にもつ数を何と呼ぶか。暗号や素因数分解の基礎となるこの概念として、次の4つの用語のうち最も適切なものを選べ。","[""素数"",""合成数"",""完全数"",""整数""]","0","1より大きく、1と自分自身だけを約数にもつ数が素数です。","素数は2,3,5,7…のように、正の約数がちょうど2つある自然数です。1は約数が1つしかないため素数に含めません。合成数は素数でも1でもない自然数で、必ず1と自分自身以外の約数を持ちます。","・素数：2,3,5,7…のように、正の約数がちょうど2つある自然数です。
・合成数：素数でも1でもない自然数で、必ず1と自分自身以外の約数を持ちます。
・完全数：完全数は自分自身を除く約数の和が自分自身と等しい特殊な数で、素数の定義とは異なります。
・整数：整数は正負零を含む広い概念であり、素数はその中の自然数部分の一部に過ぎません。","数学","数と演算","基礎力","用語・定義","100","","中学校数学「整数とその性質」","evergreen","","[""数学"",""数と演算"",""素数"",""基礎力"",""数学"",""数と演算"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000002","百分率の意味","商店の値札に「25%OFF」と書かれているとき、この百分率が示す数量関係として最も正しい説明はどれか。百分率は全体を100等分したうちの部分比として理解する。次の4択から選べ。","[""全体の25/100と同じ比を表す"",""25を100倍した値を表す"",""全体から25を引いた残りを表す"",""25個の中から100個選ぶ確率を表す""]","0","百分率は分母100の比であり、25%は25/100=1/4と同値です。","パーセント記号%はラテン語の「100分の1」を意味します。25%は25÷100=0.25であり、全体に対する25/100の部分を表します。日常の割引や増減率はこの比の言い換えとして使われます。","・割合：パーセント記号%はラテン語の「100分の1」を意味します。
・百分率：25%は25÷100=0.25であり、全体に対する25/100の部分を表します。","数学","割合・比・単位","基礎力","用語・定義","100","","中学校数学「比例と反比例・データの活用」","evergreen","","[""数学"",""割合"",""百分率"",""基礎力"",""数学"",""割合・比・単位"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000003","方程式の解","一次方程式2x+3=11について、未知数xの「解」と呼ばれる値が満たすべき本質的な条件はどれか。方程式を解く前に、解が何を意味するかを言葉で捉える問題である。最も適切な選択肢を1つ選べ。","[""xを代入すると左辺と右辺が等しくなる"",""xが正の整数である"",""xが方程式の係数より小さい"",""xを代入すると左辺が最大になる""]","0","解とは未知数に代入したとき等式が真になる値です。","方程式の解は、すべての文字にその値を代入した結果、等号の両辺が一致する値です。2x+3=11ではx=4のとき2×4+3=11となり、これが解です。解の個数や存在は方程式の形によって決まります。","・解：方程式の解は、すべての文字にその値を代入した結果、等号の両辺が一致する値です。","数学","方程式","基礎力","用語・定義","150","","中学校数学「一次方程式」","evergreen","","[""数学"",""方程式"",""解"",""基礎力"",""数学"",""方程式"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000004","関数の定義域","関数f(x)=1/(x−2)について、xに代入してよい値の集合である「定義域」を正しく述べたものはどれか。分母の条件に注意し、実数全体から除外すべき点を考えて選べ。","[""x≠2となる実数全体"",""x≥2となる実数全体"",""xが整数である集合"",""x=2を含む実数全体""]","0","分母が0になるx=2を除いた実数が定義域です。","定義域は関数に代入してよい入力値の範囲です。分母にx-2があるためx=2では定義されません。したがって定義域は実数全体から2を除いた集合、すなわちx≠2の実数です。","・定義域：関数に代入してよい入力値の範囲です。","数学","関数","基礎力","用語・定義","150","","高校数学I「関数の定義域と値域」","evergreen","","[""数学"",""関数"",""定義域"",""基礎力"",""数学"",""関数"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000005","平行線の定義","同一平面上にある2本の直線が「平行である」と言える幾何学的条件として、最も本質的なものはどれか。傾きや長さではなく、交点の有無に着目して答えよ。最も適切な選択肢を1つ選べ。","[""2直線が交点をもたない"",""2直線の長さが等しい"",""2直線が直角に交わる"",""2直線の傾きの符号が異なる""]","0","平行線は同一平面上で交わらない2直線です。","平行の定義は、同一平面上で共通点を持たないことです。傾きが等しければ平行ですが、定義としては交点の不在が基準になります。無限に延長しても一度も交わらない関係を表します。","・平行：の定義は、同一平面上で共通点を持たないことです。","数学","図形","基礎力","用語・定義","200","","中学校数学「平行線と角」","evergreen","","[""数学"",""図形"",""平行"",""基礎力"",""数学"",""図形"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000006","微分係数の意味","関数y=f(x)のグラフ上の点x=aにおける微分係数f'(a)が、幾何学的に表す量として最も適切なものはどれか。変化率とグラフの形の関係を思い出して選べ。最も適切な選択肢を1つ選べ。","[""点(a,f(a))における接線の傾き"",""x=aからx軸までの面積"",""f(a)の値そのもの"",""関数全体の最大値""]","0","微分係数はその点での瞬間的な変化率、すなわち接線の傾きです。","微分係数は差分商の極限として定義され、グラフ上の一点に接する直線の傾きと一致します。物理では速度や変化率の瞬間値として解釈され、関数の局所的な増減の向きを示します。","・微積分：微分係数は差分商の極限として定義され、グラフ上の一点に接する直線の傾きと一致します。
・微分：係数は差分商の極限として定義され、グラフ上の一点に接する直線の傾きと一致します。
・f(a)の値そのもの：f(a)は関数値であり、変化率である微分係数とは別の量です。
・関数全体の最大値：最大値は全体の性質であり、特定点の微分係数から直接は読み取れません。","数学","微積分基礎","基礎力","用語・定義","200","","高校数学II「微分係数と導関数」","evergreen","","[""数学"",""微積分"",""微分"",""基礎力"",""数学"",""微積分基礎"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000007","行列のサイズ","3行4列の数を並べた長方形の表を行列とみなすとき、その行列のサイズ（次数）を表す標準的な記法として正しいものはどれか。行数と列数の順序に注意して答えよ。最も適切な選択肢を1つ選べ。","[""3×4行列"",""4×3行列"",""12×1行列"",""3+4=7次行列""]","0","行列のサイズは行数×列数の順で表します。","行列はm行n列の数の配列です。サイズは必ず行数を先に書き、3行4列なら3×4と表記します。成分a_ijはi行目j列目を指し、サイズの順序を逆にすると別の行列になります。","・3×4行列：行×列の順が標準的な表記です。
・線形代数：行列はm行n列の数の配列です。
・行列：m行n列の数の配列です。
・4×3行列：4×3は列数×行数と逆転しており、3行4列とは異なる行列を指します。","数学","線形代数基礎","基礎力","用語・定義","250","","大学基礎「線形代数入門・行列の定義」","evergreen","","[""数学"",""線形代数"",""行列"",""基礎力"",""数学"",""線形代数基礎"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000008","平均値の定義","数値データx₁,x₂,…,x_nの「算術平均（平均値）」を定義する式として最も正しいものはどれか。代表値のうち最も基本的な指標の定義を確認する問題である。最も適切な選択肢を1つ選べ。","[""(x₁+x₂+…+x_n)/n"",""x₁×x₂×…×x_n"",""x_n−x₁"",""最も頻繁に現れる値""]","0","算術平均はすべての値の和をデータ個数nで割った値です。","平均値はデータの重心のような代表値です。n個の和をnで割ることで、全体の大きさを1つの値に要約します。外れ値の影響を受けやすい一方、計算が単純で最も広く使われます。","・統計：平均値はデータの重心のような代表値です。
・平均：値はデータの重心のような代表値です。
・x₁×x₂×…×x_n：積は幾何平均など別の代表値の計算に使われ、算術平均ではありません。
・x_n−x₁：最大値と最小値の差は範囲（レンジ）であり、平均ではありません。","数学","確率統計","基礎力","用語・定義","250","","中学校数学「データの分析・代表値」","evergreen","","[""数学"",""統計"",""平均"",""基礎力"",""数学"",""確率統計"",""用語・定義"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000009","演算の優先順位","四則混合の式3+4×2を計算するとき、乗法4×2を加算3+…より先に評価する理由として最も本質的な説明はどれか。演算の優先順位の根拠を考えて選べ。最も適切な選択肢を1つ選べ。","[""乗法は同じ数の繰り返し加算であり、より細かい単位の操作だから"",""足し算の方が難しいから後回しにする"",""左から順に計算するという別ルールがあるから"",""足し算と乗法は同じ優先度なので順不同でよいから""]","0","乗法は加算の特殊な繰り返しであり、より基本的な演算として先にまとめます。","4×2は2+2+2+2という加算の短縮形です。乗除を先に評価することで、3+(4×2)=11と一貫した結果が得られます。優先順位は記号の意味を保つための約束です。","・優先順位：記号の意味を保つための約束です。","数学","数と演算","基礎力","原理・因果","300","","小学校算数「四則混合計算」","evergreen","","[""数学"",""数と演算"",""優先順位"",""基礎力"",""数学"",""数と演算"",""原理・因果"",""基礎力"",""v1""]"
"00000000-0000-4000-8001-000000000010","百分率と小数の対応","30%を小数0.3に直すことができるのは、百分率が100分の1の単位で表された比だからである。この対応関係を正しく表した操作として適切なものはどれか。最も適切な選択肢を1つ選べ。","[""30÷100"",""30×100"",""30+100"",""100÷30""]","0","百分率は100分の○○なので、100で割ると小数の比になります。","30%は30/100という分数表記と同値です。分子30を分母100で割ると0.3となり、これは全体1に対する部分0.3を意味します。割引計算ではこの変換が頻繁に使われます。","・30÷100：百分率から小数への変換は100で割る操作です。
・割合：30%は30/100という分数表記と同値です。
・百分率：分子30を分母100で割ると0.3となり、これは全体1に対する部分0.3を意味します。
・30×100：100倍すると3000%相当になり、逆方向の変換です。","数学","割合・比・単位","基礎力","原理・因果","300","","中学校数学「百分率と小数・分数」","evergreen","","[""数学"",""割合"",""百分率"",""基礎力"",""数学"",""割合・比・単位"",""原理・因果"",""基礎力"",""v1""]"
